Time, Distance, Ypos, Zpos, Angle, Score, TotalScore
3,16.1637,2.5965,-15.9538,46.7649,0,0
6,14.3169,2.6921,-14.0615,43.1504,0,0
9,12.7546,-1.0463,-12.7116,40.2792,0,0
12,13.4256,7.6587,-11.0267,36.3202,0,0
15,7.5903,2.4076,-7.1984,25.636,0,0
18,9.0625,-3.4058,-8.3982,29.2435,0,0
21,8.0091,2.4807,-7.6153,26.9162,0,0
24,6.015,-0.3335,-6.0057,21.8202,0,0
27,21.512,2.8314,-21.3249,54.8773,0,0
30,6.9811,4.6976,-5.1641,18.9971,0,0
33,16.9304,-1.4773,-16.8658,48.3509,0,0
36,9.6611,7.8816,-5.5873,20.4297,0,0
39,5.1927,4.7659,-2.0616,7.8256,0,0
42,7.3668,0.903,-7.3112,25.9853,0,0
45,7.6524,1.4629,-7.5113,26.5996,0,0
48,3.3869,2.9395,-1.6823,6.3991,10,10
51,2.6408,2.604,-0.4393,1.6775,25,35
54,3.7741,2.3262,-2.9719,11.2067,10,45
57,6.3959,2.8064,-5.7473,20.9644,0,45
60,4.2432,3.236,-2.7446,10.3689,0,45
63,0.4901,0.4525,0.1881,0.7185,90,135
66,5.6349,1.1632,-5.5135,20.1817,0,135
69,6.7259,0.7696,-6.6817,24.0105,0,135
72,2.5438,2.0565,-1.4972,5.7,25,160
75,5.5839,1.1564,-5.4629,20.0111,0,160
78,3.9197,2.1089,-3.304,12.4222,10,170
81,7.1818,0.2954,-7.1758,25.5657,0,170
84,6.1597,-0.0588,-6.1594,22.3244,0,170
87,7.6056,2.1845,-7.2851,25.9047,0,170
90,9.5163,0.1697,-9.5148,32.3878,0,170
93,4.596,1.1986,-4.4369,16.478,0,170
96,8.3785,-0.2586,-8.3745,29.1746,0,170
99,5.2595,0.6968,-5.2132,19.1647,0,170
102,12.3712,0.8363,-12.3429,39.4496,0,170
105,12.2845,-0.2565,-12.2818,39.3102,0,170
108,5.4161,-0.2688,-5.4095,19.8308,0,170
111,3.5244,2.0537,-2.8642,10.8103,10,180
114,4.503,0.3355,-4.4904,16.6658,0,180
117,8.2273,-0.831,-8.1852,28.6204,0,180
120,5.8489,-0.9811,-5.7661,21.027,0,180
123,13.2462,-6.8634,-11.3295,37.0637,0,180
126,8.8156,0.5806,-8.7964,30.3886,0,180
129,9.6301,2.7046,-9.2425,31.64,0,180
132,8.4828,4.4737,-7.2073,25.6635,0,180
135,7.9162,0.5481,-7.8972,27.766,0,180
138,11.6554,0.4598,-11.6464,37.8266,0,180
141,22.3138,0.3352,-22.3112,56.0868,0,180
144,11.5973,0.9007,-11.5623,37.6258,0,180
147,8.0556,-3.4767,-7.2667,25.8479,0,180
150,3.598,0.992,-3.4586,12.9839,10,190
153,7.4716,-0.161,-7.4698,26.4728,0,190
156,3.9818,3.5292,-1.8436,7.0071,0,190
159,5.1529,5.0851,-0.8332,3.1793,0,190
162,11.4504,3.0768,-11.0293,36.3265,0,190
165,5.2843,0.6498,-5.2442,19.2702,0,190
168,8.8379,-5.3342,-7.0466,25.1628,0,190
171,6.5524,-2.5722,-6.0264,21.8882,0,190
174,12.7703,-4.2664,-12.0365,38.7447,0,190
177,4.5216,-0.3766,-4.5058,16.7197,0,190
